 ID        IDTYPE  MET_DOM     YEAR     MON     DAY    TIME   COUNT   MAX_T   MIN_T  MIN_GRASS_T  MIN_CONC_T
 7948      DCNN        NCM     1998       1       1     900      12      18      -3          -54        -999
 7948      DCNN        NCM     1998       1       1    2100      12      77      16         -999        -999
 7948      DCNN        NCM     1998       1       2     900      12      68      39           16        -999
 7948      DCNN        NCM     1998       1       2    2100      12      65      38         -999        -999
 7948      DCNN        NCM     1998       1       3     900      12      97      48           38        -999
 7948      DCNN        NCM     1998       1       3    2100      12      65       2         -999        -999
 7948      DCNN        NCM     1998       1       4     900      12      42      23            3        -999
 7948      DCNN        NCM     1998       1       4    2100      12      48       2         -999        -999
 7948      DCNN        NCM     1998       1       5     900      12      32       6          -20        -999
 7948      DCNN        NCM     1998       1       5    2100      12      23      -2         -999        -999
 7948      DCNN        NCM     1998       1       6     900      12      27       0            1        -999
 7948      DCNN        NCM     1998       1       7     900      12      67      25            3        -999
 7948      DCNN        NCM     1998       1       7    2100      12      45      13         -999        -999
 7948      DCNN        NCM     1998       1       8     900      12      83      19           15        -999
 7948      DCNN        NCM     1998       1       8    2100      12      95      82         -999        -999
 7948      DCNN        NCM     1998       1       9     900      12     110      91           84        -999
 7948      DCNN        NCM     1998       1       9    2100      12     117      81         -999        -999
 7948      DCNN        NCM     1998       1      10     900      12     107      90           49        -999
 7948      DCNN        NCM     1998       1      10    2100      12     141      87         -999        -999
 7948      DCNN        NCM     1998       1      11     900      12      98      41          -14        -999
 7948      DCNN        NCM     1998       1      11    2100      12     106      41         -999        -999
 7948      DCNN        NCM     1998       1      12     900      12      74      30          -19        -999
 7948      DCNN        NCM     1998       1      12    2100      12      87      73         -999        -999
 7948      DCNN        NCM     1998       1      13     900      12      85      74           75        -999
 7948      DCNN        NCM     1998       1      13    2100      12      76      62         -999        -999
 7948      DCNN        NCM     1998       1      14     900      12      65      31           24        -999
 7948      DCNN        NCM     1998       1      14    2100      12      51      20         -999        -999
 7948      DCNN        NCM     1998       1      15     900      12      80      26           17        -999
 7948      DCNN        NCM     1998       1      15    2100      12      65      41         -999        -999
 7948      DCNN        NCM     1998       1      16     900      12      58      33            6        -999
 7948      DCNN        NCM     1998       1      16    2100      12      60      24         -999        -999
