# Wind speed distribution, Llyn Efyrnwy (1994-2000)
# Speed (m/s)   Rel. Freq.
          0.5       0.1152
          1.5       0.1103
          2.5       0.1523
          3.5       0.1467
          4.5       0.1184
          5.5       0.0909
          6.5       0.0723
          7.5       0.0562
          8.5       0.0410
          9.5       0.0302
         10.5       0.0220
         11.5       0.0159
         12.5       0.0113
         13.5       0.0072
         14.5       0.0048
         15.5       0.0028
         16.5       0.0013
         17.5       0.0003
         18.5       0.0005
         19.5       0.0004
