YEAR MONTH DAY END_HOUR 0
1998 1 1 900 0
1998 1 1 2100 14.6
1998 1 2 900 5.2
1998 1 2 2100 1.6
1998 1 3 900 35.8
1998 1 3 2100 5.6
1998 1 4 900 6.6
1998 1 4 2100 20.8
1998 1 5 900 4.4
1998 1 5 2100 3
1998 1 6 900 4
1998 1 6 2100 -99.9
1998 1 7 900 2.4
1998 1 7 900 14.8
1998 1 7 2100 6.6
1998 1 8 900 13.6
1998 1 8 2100 38.4
1998 1 9 900 1
1998 1 9 2100 0.2
1998 1 10 900 0
1998 1 10 2100 0
1998 1 11 900 0
1998 1 11 2100 1.2
1998 1 12 900 0.2
1998 1 12 2100 17.2
1998 1 13 900 6
1998 1 13 2100 13.8
1998 1 14 900 8.4
1998 1 14 2100 0.6
1998 1 15 900 11.6
1998 1 15 2100 6.8
1998 1 16 900 13.6
1998 1 16 2100 3.4
1998 1 17 900 0
1998 1 17 2100 7.6
1998 1 18 900 14.4
1998 1 18 2100 10.2
1998 1 19 900 2.4
1998 1 19 2100 0
1998 1 20 900 0
1998 1 20 2100 0
1998 1 21 900 1
1998 1 21 2100 2
1998 1 22 900 0.6
1998 1 22 2100 0.6
1998 1 23 900 0.6
1998 1 23 2100 0
1998 1 24 900 0
1998 1 24 2100 0
1998 1 25 900 0
1998 1 25 2100 0
1998 1 26 900 0
1998 1 26 2100 0
1998 1 27 900 0
1998 1 27 2100 0
1998 1 28 900 0
1998 1 28 2100 0
1998 1 29 900 0
1998 1 29 2100 0
1998 1 30 900 0
1998 1 30 2100 0
1998 1 31 900 0.2
1998 1 31 2100 0
1998 2 1 900 0
1998 2 1 2100 0.4
1998 2 2 900 0
1998 2 2 2100 0.2
1998 2 3 900 0.2
1998 2 3 2100 0
1998 2 4 900 0.8
1998 2 4 2100 0
1998 2 5 900 0
1998 2 5 2100 0
1998 2 6 900 1
1998 2 6 2100 4.4
1998 2 7 900 6.6
1998 2 7 2100 2
1998 2 8 900 0
1998 2 8 2100 0
1998 2 9 900 0.2
1998 2 9 2100 0.2
1998 2 10 900 0.6
1998 2 10 2100 0.4
1998 2 11 900 0.2
1998 2 11 2100 0
1998 2 12 900 0
1998 2 12 2100 0
1998 2 13 900 0
1998 2 13 2100 0
1998 2 14 900 0.2
1998 2 14 2100 0
1998 2 15 900 0
1998 2 15 2100 0.6
1998 2 16 900 1.6
1998 2 16 2100 0.6
1998 2 17 900 0.2
1998 2 17 2100 0
1998 2 18 900 0.2
1998 2 18 2100 0
1998 2 19 900 0.4
1998 2 19 2100 0
